"","ATE","ATE_est","variance","coverage","bias_se","cov_se","size","parametric","ICC","independent"
"1",0.176510652728954,0.094691499917709,0.00408192454921859,0.68,0.00285724501897145,0.0208614476966485,"small",FALSE,0.01,FALSE
"2",0.176465651704245,0.100422722946412,0.00102838616841096,0.256,0.00143414515890893,0.0195173768729304,"large",FALSE,0.01,FALSE
"3",0.176373378121848,0.166775385621431,0.00474077252135539,0.928,0.00307921175671807,0.0115599307956406,"small",TRUE,0.01,FALSE
"4",0.175967249306277,0.173640584570638,0.00107736209729105,0.942,0.0014678978828863,0.0104533248299285,"large",TRUE,0.01,FALSE
"5",0.165567057381843,0.0896637889757622,0.00417854627707464,0.72,0.00289086363465129,0.0200798406368178,"small",FALSE,0.1,FALSE
"6",0.165027347563152,0.0957594756032,0.00105952201170615,0.382,0.0014556936571313,0.0217290588843604,"large",FALSE,0.1,FALSE
"7",0.164935434407559,0.150830310777171,0.00410919982042908,0.932,0.00286677512910555,0.0112584190719657,"small",TRUE,0.1,FALSE
"8",0.165479359673423,0.164844245901903,0.00118699704926524,0.95,0.00154077710864696,0.00974679434480897,"large",TRUE,0.1,FALSE
"9",0.176836587374202,0.175903415388642,0.00281722007698282,0.936,0.00237369757002986,0.0109456840809517,"small",FALSE,0.01,TRUE
"10",0.175828136020421,0.174716492193598,0.000739227134905818,0.936,0.00121591704890245,0.0109456840809517,"large",FALSE,0.01,TRUE
"11",0.17623019452627,0.172041539832131,0.00430020166744929,0.918,0.00293264442694619,0.0122699633251286,"small",TRUE,0.01,TRUE
"12",0.176215825616392,0.174902976033521,0.000984138626371022,0.936,0.0014029530472336,0.0109456840809517,"large",TRUE,0.01,TRUE
"13",0.164783785185073,0.160678571054256,0.00311117816334422,0.928,0.0024944651383991,0.0115599307956406,"small",FALSE,0.1,TRUE
"14",0.165041715561695,0.163693242110926,0.000868909179061179,0.946,0.00131826338723426,0.0101078187557949,"large",FALSE,0.1,TRUE
"15",0.165713875760797,0.157971378130213,0.00368915837911773,0.93,0.002716305718846,0.0114105214604767,"small",TRUE,0.1,TRUE
"16",0.165307932404861,0.162504300977777,0.00113517461791641,0.926,0.00150676781085634,0.0117067501895274,"large",TRUE,0.1,TRUE
